Agency Name,Website URL,Litmus,Size
Active Talent Agency,https://www.activetalentagency.com,,Boutique
APA Agency,https://www.apa-agency.com,Enemy,Corporate
Arrival Artists,https://www.arrivalartists.com,Friend,Boutique
CAA,https://www.caa.com,Enemy,Corporate
EMV Music Group,https://emvrecords.com,Friend,SMB
Front Porch Productions,https://frontporchproductions.org/,Friend,Boutique
Ground Control Touring,https://groundcontroltouring.com,Friend,Boutique
Heavy Trip,https://heavy-trip.com,Frienemy,Boutique
In Context Artists,https://icartists.net,Frienemy,Boutique
Liaison Artists,https://www.liaisonartists.com,Frienemy,Boutique
Madison House,https://www.madisonhouseinc.com,Frienemy,SMB
Midnight Agency,https://midnightagency.com,Friend,Boutique
Mint Talent Group,https://www.minttalentgroup.com,Friend,SMB
MN2S (Miami),https://mn2s.com,Enemy,Corporate
Muisca,https://muisca.la,Friend,Boutique
OnTheSly,https://www.onthesly.co,Enemy,Boutique
Outermost Agency,https://www.outermostagency.com,Enemy,Boutique
Spin Artist Agency,https://www.spinartistagency.com,Friend,SMB
Submission Agency,https://subdotmission.com/artist-roster,Friend,SMB
TBA Agency,https://tbaagency.com,Frienemy,SMB
The Bullitt Agency,https://thebullittagency.com,Frienemy,Boutique
The Fina Agency,https://thefinaagency.com/,Enemy,Boutique
The Music Trust,https://www.themusictrust.com,Enemy,Boutique
United Talent Agency,https://www.unitedtalent.com,Enemy,Corporate
Visionary Talent Group,https://visionarytalentgroup.com,Enemy,Boutique
Wasserman Music,https://www.teamwass.com/music-talent,Enemy,Corporate
WME,https://www.wmeagency.com,Enemy,Corporate
